filename;black_mass_quarter_1;black_mass_quarter_2;black_mass_quarter_3;black_mass_quarter_4;normalized_black_mass_quarter_1;normalized_black_mass_quarter_2;normalized_black_mass_quarter_3;normalized_black_mass_quarter_4;center_of_gravity_x;center_of_gravity_y;normalized_center_of_gravity_x;normalized_center_of_gravity_y;horizontal_moment_of_inertia;vertical_moment_of_inertia;normalized_horizontal_moment_of_inertia;normalized_vertical_moment_of_inertia
 .png;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0.0;0.0;0;0;0.0;0.0
ا.png;195;97;54;215;0.6190476190476191;0.30793650793650795;0.17142857142857143;0.6825396825396826;43.254901960784316;6.873440285204991;0.4806100217864924;0.49096002037178504;4116.014260249554;275836.54901960783;3.2666779843250433;218.9178960473078
ب.png;334;379;421;603;0.16792357968828556;0.19054801407742583;0.21166415284062343;0.3031674208144796;38.9153713298791;55.85319516407599;0.49891501704973207;0.5422640307191844;1712253.5647668391;321652.55958549224;213.1259104763305;40.03641518365599
ت.png;153;197;679;835;0.08333333333333333;0.10729847494553377;0.3698257080610022;0.45479302832244006;53.41523605150215;55.47424892703863;0.7317155623493445;0.53858494103921;1735958.7639484978;732730.6072961374;230.87628194553767;97.45053960581691
ث.png;266;153;692;885;0.12129502963976288;0.06976744186046512;0.31554947560419516;0.40355677154582764;62.5501002004008;54.78356713426854;0.7273267465162884;0.531879292565714;1750886.501002004;1155243.98997996;197.66160544163512;130.41815195077444
ج.png;569;535;540;428;0.33628841607565013;0.31619385342789597;0.3191489361702128;0.25295508274231676;44.321911196911195;32.75965250965251;0.4665464336516968;0.4487623631459248;672926.306949807;2503762.28523166;97.033353561616;361.03277364551695
ح.png;569;474;540;356;0.33628841607565013;0.2801418439716312;0.3191489361702128;0.21040189125295508;44.14182568334193;32.04177411036617;0.4646507966667571;0.43892841247076947;655747.6162970604;2501407.997937081;94.55625325119833;360.69329458357333
خ.png;570;552;596;356;0.25132275132275134;0.24338624338624337;0.26278659611992944;0.15696649029982362;70.77097396335583;32.319189971070394;0.5616743965345701;0.4427286297406903;659706.6962391514;3071898.212632594;71.72284151328022;333.9745828041524
د.png;6;211;265;332;0.009404388714733543;0.33072100313479624;0.4153605015673981;0.5203761755485894;40.26781326781327;25.43243243243243;0.6825053096239537;0.578009828009828;111353.78378378379;249167.61670761666;42.89436971640362;95.98136236811119
ذ.png;135;110;265;435;0.13636363636363635;0.1111111111111111;0.2676767676767677;0.4393939393939394;63.35873015873016;23.986243386243387;0.6962497819640677;0.5451418951418951;125100.82116402118;716657.3904761905;31.24396132967562;178.98536225679084
